timesp,src_ip,dest_ip,proto,src_port,dest_port,packet_length,labeltam
2025-04-28T20:59:51.628281+0530,2401:4900:1c26:50d3:6516:abab:079d:7ce7,2401:4900:0050:0009:0000:0000:0000:0076,UDP,15487.0,53.0,,normal
2025-04-28T20:59:51.628288+0530,2401:4900:1c26:50d3:6516:abab:079d:7ce7,2404:6800:4007:080a:0000:0000:0000:2003,UDP,54768.0,443.0,,normal
2025-04-28T20:59:51.628295+0530,2401:4900:1c26:50d3:6516:abab:079d:7ce7,2401:4900:0050:0009:0000:0000:0000:0076,UDP,41008.0,53.0,,normal
2025-04-28T20:59:51.628302+0530,192.168.1.12,192.168.1.1,UDP,42698.0,53.0,,normal
2025-04-28T20:59:51.628308+0530,2401:4900:1c26:50d3:6516:abab:079d:7ce7,2401:4900:0050:0009:0000:0000:0000:0076,UDP,61660.0,53.0,,normal
2025-04-28T20:59:51.628315+0530,2401:4900:1c26:50d3:6516:abab:079d:7ce7,2401:4900:0050:0009:0000:0000:0000:0076,UDP,28541.0,53.0,,normal
2025-04-28T20:59:51.628321+0530,2401:4900:1c26:50d3:6516:abab:079d:7ce7,2401:4900:0050:0009:0000:0000:0000:0076,UDP,26235.0,53.0,,normal
2025-04-28T20:59:51.628328+0530,192.168.1.12,192.168.1.1,UDP,62101.0,53.0,,normal
2025-04-28T20:59:51.628334+0530,2401:4900:1c26:50d3:6516:abab:079d:7ce7,2404:6800:4009:0823:0000:0000:0000:200e,UDP,53848.0,443.0,,normal
2025-04-28T20:59:51.628344+0530,192.168.1.12,192.168.1.1,UDP,11775.0,53.0,,normal
2025-04-28T20:59:51.628350+0530,192.168.1.12,192.168.1.1,UDP,2335.0,53.0,,normal
2025-04-28T20:59:51.628356+0530,2401:4900:1c26:50d3:6516:abab:079d:7ce7,2401:4900:0050:0009:0000:0000:0000:0076,UDP,12981.0,53.0,,normal
2025-04-28T20:59:51.628363+0530,2401:4900:1c26:50d3:6516:abab:079d:7ce7,2401:4900:0050:0009:0000:0000:0000:0076,UDP,64376.0,53.0,,normal
2025-04-28T20:59:51.628370+0530,2401:4900:1c26:50d3:6516:abab:079d:7ce7,2401:4900:0050:0009:0000:0000:0000:0076,UDP,26077.0,53.0,,normal
2025-04-28T20:59:51.628378+0530,2401:4900:1c26:50d3:6516:abab:079d:7ce7,2401:4900:0050:0009:0000:0000:0000:0076,UDP,12135.0,53.0,,normal
2025-04-28T20:59:51.628385+0530,2401:4900:1c26:50d3:6516:abab:079d:7ce7,2404:6800:4009:081d:0000:0000:0000:2003,UDP,64099.0,443.0,,normal
2025-04-28T20:59:51.628392+0530,192.168.1.12,192.168.1.1,UDP,41902.0,53.0,,normal
2025-04-28T20:59:51.628398+0530,192.168.1.12,192.168.1.1,UDP,63462.0,53.0,,normal
2025-04-28T20:59:51.628404+0530,2401:4900:1c26:50d3:6516:abab:079d:7ce7,2401:4900:0050:0009:0000:0000:0000:0076,UDP,50136.0,53.0,,normal
2025-04-28T20:59:51.628411+0530,2401:4900:1c26:50d3:6516:abab:079d:7ce7,2401:4900:0050:0009:0000:0000:0000:0076,UDP,19053.0,53.0,,normal
2025-04-28T20:59:51.628418+0530,2401:4900:1c26:50d3:6516:abab:079d:7ce7,2401:4900:0050:0009:0000:0000:0000:0076,UDP,25927.0,53.0,,normal
2025-04-28T20:59:51.628425+0530,2401:4900:1c26:50d3:6516:abab:079d:7ce7,2401:4900:0050:0009:0000:0000:0000:0076,UDP,53498.0,53.0,,normal
2025-04-28T20:59:51.628432+0530,2401:4900:1c26:50d3:6516:abab:079d:7ce7,2401:4900:0050:0009:0000:0000:0000:0076,UDP,6146.0,53.0,,normal
2025-04-28T20:59:51.628439+0530,2401:4900:1c26:50d3:6516:abab:079d:7ce7,2401:4900:0050:0009:0000:0000:0000:0076,UDP,5393.0,53.0,,normal
2025-04-28T20:59:51.628446+0530,2401:4900:1c26:50d3:6516:abab:079d:7ce7,2401:4900:0050:0009:0000:0000:0000:0076,UDP,27084.0,53.0,,normal
2025-04-28T20:59:51.628452+0530,2401:4900:1c26:50d3:6516:abab:079d:7ce7,2401:4900:0050:0009:0000:0000:0000:0076,UDP,21084.0,53.0,,normal
