timestamp,src_ip,dst_ip,protocol,src_port,dst_port,packet_length,flags,label
1745843581.6846669,142.250.82.215,192.168.1.12,UDP,3478.0,54888.0,106,,0
1745843582.631283,192.168.1.5,224.0.0.251,2,,,46,,0
1745843583.1524549,192.168.1.7,224.0.0.251,UDP,5353.0,5353.0,417,,0
1745843584.155668,192.168.1.7,224.0.0.251,UDP,5353.0,5353.0,417,,0
1745843586.499258,192.168.1.7,224.0.0.251,UDP,5353.0,5353.0,447,,0
1745843587.1554508,192.168.1.7,224.0.0.251,UDP,5353.0,5353.0,82,,0
1745843587.162098,192.168.1.7,224.0.0.251,UDP,5353.0,5353.0,417,,0
1745843587.722982,192.168.1.12,140.82.114.25,TCP,52337.0,443.0,54,A,0
1745843588.001777,140.82.114.25,192.168.1.12,TCP,443.0,52337.0,66,A,0
1745843593.644547,192.168.1.12,35.154.111.35,TCP,61537.0,443.0,90,PA,0
1745843593.645076,192.168.1.12,35.154.111.35,TCP,61537.0,443.0,66,FA,0
1745843593.6731122,35.154.111.35,192.168.1.12,TCP,443.0,61537.0,66,A,0
1745843593.67401,35.154.111.35,192.168.1.12,TCP,443.0,61537.0,94,PA,0
1745843593.67447,35.154.111.35,192.168.1.12,TCP,443.0,61537.0,90,FPA,0
1745843593.674779,192.168.1.12,35.154.111.35,TCP,61537.0,443.0,54,R,0
1745843593.675096,192.168.1.12,35.154.111.35,TCP,61537.0,443.0,54,R,0
1745843599.4125838,192.168.1.5,224.0.0.251,UDP,5353.0,5353.0,152,,0
1745843599.415172,192.168.1.7,224.0.0.251,UDP,5353.0,5353.0,417,,0
1745843599.418164,192.168.1.7,224.0.0.251,UDP,5353.0,5353.0,432,,0
1745843602.4477,140.82.114.25,192.168.1.12,TCP,443.0,52337.0,92,PA,0
1745843602.448631,192.168.1.12,140.82.114.25,TCP,52337.0,443.0,66,A,0
1745843602.4491892,192.168.1.12,140.82.114.25,TCP,52337.0,443.0,96,PA,0
1745843602.503426,192.168.1.7,224.0.0.251,UDP,5353.0,5353.0,447,,0
1745843602.7191858,140.82.114.25,192.168.1.12,TCP,443.0,52337.0,66,A,0
1745843603.159416,192.168.1.7,224.0.0.251,UDP,5353.0,5353.0,82,,0
1745843603.162615,192.168.1.7,224.0.0.251,UDP,5353.0,5353.0,417,,0
1745843606.897057,192.168.1.12,142.250.82.215,UDP,54888.0,3478.0,162,,0
1745843606.913391,142.250.82.215,192.168.1.12,UDP,3478.0,54888.0,106,,0
1745843621.385539,192.168.1.12,13.89.179.8,TCP,52531.0,443.0,78,S,0
1745843621.63749,13.89.179.8,192.168.1.12,TCP,443.0,52531.0,74,SA,0
1745843621.637665,192.168.1.12,13.89.179.8,TCP,52531.0,443.0,66,A,0
1745843621.638141,192.168.1.12,13.89.179.8,TCP,52531.0,443.0,1494,A,0
1745843621.638339,192.168.1.12,13.89.179.8,TCP,52531.0,443.0,507,PA,0
1745843621.892346,13.89.179.8,192.168.1.12,TCP,443.0,52531.0,66,A,0
1745843621.893282,13.89.179.8,192.168.1.12,TCP,443.0,52531.0,165,PA,0
1745843621.893968,192.168.1.12,13.89.179.8,TCP,52531.0,443.0,66,A,0
1745843621.894811,192.168.1.12,13.89.179.8,TCP,52531.0,443.0,781,PA,0
1745843622.151595,13.89.179.8,192.168.1.12,TCP,443.0,52531.0,1506,A,0
1745843622.151896,13.89.179.8,192.168.1.12,TCP,443.0,52531.0,1506,A,0
1745843622.1521542,13.89.179.8,192.168.1.12,TCP,443.0,52531.0,1506,A,0
